ZONE T="first 0", I=  42, F=POINT
 -3.69189  -2.15976
 -3.60905  -2.10374
 -3.52649  -2.04733
 -3.44421  -1.99049
 -3.36225  -1.93319
 -3.28063  -1.87543
 -3.19936  -1.81715
 -3.11849  -1.75833
 -3.03804  -1.69894
 -2.95805  -1.63892
 -2.87856  -1.57825
 -2.79962  -1.51686
 -2.72129  -1.45469
 -2.64363  -1.39169
 -2.56672  -1.32779
 -2.49063  -1.26289
 -2.41549  -1.19691
 -2.34140  -1.12975
 -2.26850  -1.06129
 -2.19698  -0.99141
 -2.12701  -0.91996
 -2.05884  -0.84680
 -1.99271  -0.77178
 -1.92891  -0.69478
 -1.86773  -0.61568
 -1.80943  -0.53443
 -1.75421  -0.45106
 -1.70213  -0.36569
 -1.65307  -0.27856
 -1.60666  -0.18998
 -1.56231  -0.10035
 -1.51926  -0.01009
 -1.47661   0.08036
 -1.43346   0.17057
 -1.38896   0.26012
 -1.34233   0.34858
 -1.29292   0.43553
 -1.24021   0.52051
 -1.18381   0.60308
 -1.14401   0.65657
 -1.10240   0.70865
 -1.05894   0.75920
 -1.01360   0.80808
 -0.96641   0.85517
 -0.91739   0.90035
 -0.86656   0.94349
 -0.81398   0.98448
 -0.75973   1.02322
 -0.70387   1.05961
 -0.64649   1.09356
 -0.58770   1.12499
 -0.52759   1.15383
 -0.46628   1.18001
 -0.40389   1.20349
 -0.34053   1.22424
 -0.27634   1.24222
 -0.21143   1.25743
 -0.14593   1.26986
 -0.07997   1.27952
 -0.01366   1.28646
  0.05287   1.29069
  0.11952   1.29230
  0.18617   1.29134
  0.25275   1.28790
  0.31917   1.28208
  0.38534   1.27400
  0.45122   1.26380
  0.51677   1.25163
  0.58195   1.23765
  0.67904   1.21371
  0.77536   1.18682
  0.87105   1.15776
  0.96633   1.12740
  1.06149   1.09667
  1.15683   1.06651
  1.25264   1.03787
  1.34912   1.01157
  1.44637   0.98829
  1.54439   0.96847
  1.64308   0.95232
  1.74230   0.93987
  1.84190   0.93095
  1.94174   0.92533
  2.04171   0.92273
  2.14171   0.92284
  2.24168   0.92538
  2.34157   0.93009
  2.44134   0.93673
  2.54099   0.94512
  2.64050   0.95505
  2.73985   0.96638
  2.83906   0.97898
  2.93811   0.99272
  3.03701   1.00751
  3.13576   1.02326
  3.23437   1.03989
  3.33284   1.05732
  3.43117   1.07551
  3.52937   1.09439
  3.62745   1.11391
  3.72540   1.13404
  3.82323   1.15474
  3.92095   1.17597
  4.01857   1.19770
  4.11607   1.21990
  4.21347   1.24254
  4.31078   1.26560
  4.40799   1.28906
  4.50510   1.31290
  4.60213   1.33710
  4.69907   1.36165
  4.79593   1.38652
  4.89271   1.41170
ZONE T="7     8", I= 119, F=POINT
 -4.41376  -2.50780
 -4.32931  -2.45425
 -4.24504  -2.40041
 -4.16096  -2.34629
 -4.07707  -2.29185
 -3.99340  -2.23709
 -3.90994  -2.18200
 -3.82672  -2.12654
 -3.74376  -2.07072
 -3.66106  -2.01450
 -3.57864  -1.95787
 -3.49652  -1.90080
 -3.41473  -1.84326
 -3.33329  -1.78523
 -3.25223  -1.72668
 -3.17157  -1.66757
 -3.09135  -1.60786
 -3.01161  -1.54752
 -2.93239  -1.48649
 -2.85375  -1.42472
 -2.77574  -1.36216
 -2.69842  -1.29874
 -2.62188  -1.23439
 -2.54619  -1.16902
 -2.47147  -1.10256
 -2.39783  -1.03491
 -2.32541  -0.96595
 -2.25436  -0.89558
 -2.18486  -0.82368
 -2.11712  -0.75012
 -2.05133  -0.67481
 -1.98772  -0.59765
 -1.92649  -0.51859
 -1.86780  -0.43762
 -1.81172  -0.35483
 -1.75820  -0.27035
 -1.70703  -0.18444
 -1.65783  -0.09738
 -1.61005  -0.00953
 -1.56302   0.07872
 -1.51602   0.16698
 -1.46828   0.25486
 -1.41911   0.34193
